id	filename	md5	size	state
1300bf72-ead0-4c03-b140-fca26302b43c	1300bf72-ead0-4c03-b140-fca26302b43c/2f21d781-2df5-4de1-a595-a61507cfe610.rna_seq.augmented_star_gene_counts.tsv	ce2aad18ed2d81763e5f46953816fee1	4261055	validated
2ff175d2-100f-4ce8-8d1e-b3b95b41ae56	2ff175d2-100f-4ce8-8d1e-b3b95b41ae56/7d746ed3-9bfa-4f66-9c5a-594284ecd811.rna_seq.augmented_star_gene_counts.tsv	494a8c926b3e402469e341bb11dd17a7	4232581	validated
31e1dbf5-8c97-4e4d-a488-d6737ab304c2	31e1dbf5-8c97-4e4d-a488-d6737ab304c2/6e24acde-7dd0-46b9-b3c5-b0b617912910.rna_seq.augmented_star_gene_counts.tsv	7f28e5a73e447e0fb994dae451e5063a	4242517	validated
3e8cff80-ed17-479c-8327-ca8e71ee7482	3e8cff80-ed17-479c-8327-ca8e71ee7482/0c814cd9-5b2c-4764-9e6a-6ad0403fcd7d.rna_seq.augmented_star_gene_counts.tsv	2fbb6954c6dc133c3f618b3a1fae68ba	4249009	validated
4bfe1281-919d-47ee-afc7-2b373b113674	4bfe1281-919d-47ee-afc7-2b373b113674/a615ef14-a590-45b2-91c9-74a3cae19619.rna_seq.augmented_star_gene_counts.tsv	69d32a6b0b96593c31fba443d0fa2455	4227208	validated
5113a198-1bfe-4d4e-8e17-4c8e3359061a	5113a198-1bfe-4d4e-8e17-4c8e3359061a/9dffcc09-6ccd-4f12-ae6a-1b8b93fcf29c.rna_seq.augmented_star_gene_counts.tsv	56c769774e17895e8f381842e19942bc	4238195	validated
5599b7dd-7c2a-4037-ad77-11a0b4ddcb54	5599b7dd-7c2a-4037-ad77-11a0b4ddcb54/6cbfdf8b-fd71-4b6a-b360-1573ee5241a1.rna_seq.augmented_star_gene_counts.tsv	46cd73fb74d2a995678e71e2e8920b45	4249344	validated
561bb38a-f9b8-4a0a-b03b-fbe70859869a	561bb38a-f9b8-4a0a-b03b-fbe70859869a/cab9ff29-e575-45e2-a411-1bfdc2e2610c.rna_seq.augmented_star_gene_counts.tsv	d61000ee398e7cd3cb03fe42227c7154	4241658	validated
69bb06b6-74b3-441b-82d7-c6783aa88cdd	69bb06b6-74b3-441b-82d7-c6783aa88cdd/b44d9209-0e37-4ffe-9c27-a969a421b3ab.rna_seq.augmented_star_gene_counts.tsv	3f64389995c62fdd9e936462f61962a8	4246806	validated
6b62d6dd-bb6f-4f39-9041-992c47b875f3	6b62d6dd-bb6f-4f39-9041-992c47b875f3/d1f7678a-8106-46c9-95b7-5ec5d940f08c.rna_seq.augmented_star_gene_counts.tsv	cfe98a7dcb3ca5d1a4d25d13f6f5fa4a	4244153	validated
90eefb33-6808-45c3-9ab1-6eca0decdc9d	90eefb33-6808-45c3-9ab1-6eca0decdc9d/71c9a6fc-0538-4533-af51-f7c9defe7770.rna_seq.augmented_star_gene_counts.tsv	3e3f4b56a5142e2be9ae6ca3f927c072	4238678	validated
99367019-5583-4bcc-aa62-25916515fe17	99367019-5583-4bcc-aa62-25916515fe17/c28b080d-8eb9-46b7-9e40-c37409820e17.rna_seq.augmented_star_gene_counts.tsv	dcddca1ef4cbd8e3ff1259a474898676	4237154	validated
b2c326d7-25ab-42dc-afc2-bc93381062ea	b2c326d7-25ab-42dc-afc2-bc93381062ea/defae193-bf7c-417c-b68a-57963eb454ef.rna_seq.augmented_star_gene_counts.tsv	98e626aa269cbea323613ae11f8bbcab	4246714	validated
c25c7ca5-8d03-4bba-b42b-c8b1042c0d48	c25c7ca5-8d03-4bba-b42b-c8b1042c0d48/fac3e41a-3b98-4293-855f-d23cb01522d0.rna_seq.augmented_star_gene_counts.tsv	9fe28a6203fc2b9b77545c5f650c7a53	4249086	validated
c55e6460-fea1-468e-951e-bf45bbddd7a6	c55e6460-fea1-468e-951e-bf45bbddd7a6/d0d2b8fc-6915-49fe-ae4a-f80e2d090cf5.rna_seq.augmented_star_gene_counts.tsv	bd998bf18d88c69169479f042b8d2930	4236078	validated
c95a37a1-d3cd-421c-bc5f-0f8dc448f64c	c95a37a1-d3cd-421c-bc5f-0f8dc448f64c/ee6709eb-718c-4a0e-8b57-3068e0e0fbaf.rna_seq.augmented_star_gene_counts.tsv	d5af4902d174bc5f12181a868856c14b	4233443	validated
eb166054-ff70-4a86-883b-9c25a7d2b0e5	eb166054-ff70-4a86-883b-9c25a7d2b0e5/6cc59c3f-0de5-4232-ab7a-7195a92e7d89.rna_seq.augmented_star_gene_counts.tsv	2ce77f34d6c915bc5ae66ccedd2b1fe3	4245622	validated
f35ae5c7-6e88-410d-b86f-c5bdae11a5f4	f35ae5c7-6e88-410d-b86f-c5bdae11a5f4/222dd9b5-4187-45b9-8cb1-fd16ba14425b.rna_seq.augmented_star_gene_counts.tsv	b02ae0928156a6d24256b65153d9b7f8	4247830	validated
f66aace4-01a4-4def-8e71-26d9aaf13d49	f66aace4-01a4-4def-8e71-26d9aaf13d49/9db2f825-0d02-4437-9107-a6b92ef4e2cc.rna_seq.augmented_star_gene_counts.tsv	24ff8dcee52767c9d8e44aaabe7a6bce	4246431	validated
ff5f8ada-17c5-497e-9182-63a05e3ab4c5	ff5f8ada-17c5-497e-9182-63a05e3ab4c5/64b12ba7-a481-4fdb-9c74-38c94c7ef3c9.rna_seq.augmented_star_gene_counts.tsv	e0746cf579c06c091575742c3c4837ce	4234675	validated
